homo,lumo,gap,single_bond,double_bond,triple_bond,aromatic_bond
-0.187,-0.099,0.088,31.0,2.0,0.0,43.0
-0.171,-0.118,0.053,31.0,2.0,0.0,43.0
-0.228,-0.077,0.151,31.0,2.0,0.0,43.0
-0.197,-0.098,0.099,31.0,2.0,0.0,43.0
-0.187,-0.099,0.088,31.0,2.0,0.0,43.0
-0.171,-0.119,0.052,31.0,2.0,0.0,43.0
-0.228,-0.077,0.151,31.0,2.0,0.0,43.0
-0.197,-0.099,0.098,31.0,2.0,0.0,43.0
-0.188,-0.098,0.09,31.0,2.0,0.0,43.0
-0.172,-0.118,0.054,31.0,2.0,0.0,43.0
-0.228,-0.075,0.153,31.0,2.0,0.0,43.0
-0.197,-0.098,0.099,31.0,2.0,0.0,43.0
-0.187,-0.1,0.087,31.0,2.0,0.0,43.0
-0.171,-0.119,0.052,31.0,2.0,0.0,43.0
-0.227,-0.078,0.149,31.0,2.0,0.0,43.0
-0.196,-0.1,0.096,31.0,2.0,0.0,43.0
-0.188,-0.099,0.089,31.0,2.0,0.0,43.0
-0.171,-0.118,0.053,31.0,2.0,0.0,43.0
-0.228,-0.076,0.152,31.0,2.0,0.0,43.0
-0.197,-0.098,0.099,31.0,2.0,0.0,43.0
-0.187,-0.099,0.088,31.0,2.0,0.0,43.0
-0.171,-0.118,0.053,31.0,2.0,0.0,43.0
-0.228,-0.077,0.151,31.0,2.0,0.0,43.0
-0.197,-0.099,0.098,31.0,2.0,0.0,43.0
-0.187,-0.099,0.088,31.0,2.0,0.0,43.0
-0.171,-0.119,0.052,31.0,2.0,0.0,43.0
-0.228,-0.077,0.151,31.0,2.0,0.0,43.0
-0.197,-0.099,0.098,31.0,2.0,0.0,43.0
-0.187,-0.099,0.088,31.0,2.0,0.0,43.0
-0.171,-0.119,0.052,31.0,2.0,0.0,43.0
-0.228,-0.077,0.151,31.0,2.0,0.0,43.0
-0.197,-0.099,0.098,31.0,2.0,0.0,43.0
-0.186,-0.099,0.087,31.0,2.0,0.0,43.0
-0.17,-0.118,0.052,31.0,2.0,0.0,43.0
-0.226,-0.076,0.15,31.0,2.0,0.0,43.0
-0.195,-0.098,0.097,31.0,2.0,0.0,43.0
-0.186,-0.099,0.087,31.0,2.0,0.0,43.0
-0.17,-0.118,0.052,31.0,2.0,0.0,43.0
-0.226,-0.077,0.149,31.0,2.0,0.0,43.0
-0.195,-0.099,0.096,31.0,2.0,0.0,43.0
-0.186,-0.099,0.087,31.0,2.0,0.0,43.0
-0.17,-0.118,0.052,31.0,2.0,0.0,43.0
-0.226,-0.076,0.15,31.0,2.0,0.0,43.0
-0.195,-0.098,0.097,31.0,2.0,0.0,43.0
-0.187,-0.098,0.089,31.0,2.0,0.0,43.0
-0.171,-0.118,0.053,31.0,2.0,0.0,43.0
-0.228,-0.076,0.152,31.0,2.0,0.0,43.0
-0.197,-0.098,0.099,31.0,2.0,0.0,43.0
-0.186,-0.098,0.088,31.0,2.0,0.0,43.0
-0.17,-0.118,0.052,31.0,2.0,0.0,43.0
-0.226,-0.076,0.15,31.0,2.0,0.0,43.0
-0.195,-0.098,0.097,31.0,2.0,0.0,43.0
-0.187,-0.098,0.089,31.0,2.0,0.0,43.0
-0.171,-0.118,0.053,31.0,2.0,0.0,43.0
