gap,homo,lumo,is_camb3lyp/6-31g,is_QChem PBE0/def2-SVP DFT,is_QChem B3LYP/def2-SVP DFT,is_b3lyp/6-31g(d),is_QChem BP86/def2-SVP DFT,is_QChem M06-2X/def2-SVP DFT
1.5274,-5.641736215690001,-3.5720383592999996,0,0,0,1,0,0
3.1595,-5.16635333966,-1.49336074624,0,0,0,1,0,0
2.3418,-6.0458252660148,-1.9401716692180004,1,0,0,0,0,0
2.2456,-5.3187370892756,-2.673518464245,0,0,0,1,0,0
1.9795,-5.0066225164,-2.68277033476,0,0,0,1,0,0
2.4701,-5.3331591227214,-2.4520177996245995,0,0,0,1,0,0
2.5831,-5.0607731702828,-2.0291528944402,0,0,0,1,0,0
2.7436,-6.30787089259,-1.80574743295,1,0,0,0,0,0
2.3577,-5.971538188080001,-1.7170383215699998,1,0,0,0,0,0
2.2114,-5.330437984335401,-2.597326589437,0,0,0,1,0,0
1.8553,-6.677945713080001,-3.4514919288,1,0,0,0,0,0
2.466,-4.895872184091199,-2.0743237916478,0,0,0,1,0,0
2.0917,-5.172339844108801,-2.863998151265,0,0,0,1,0,0
2.1885,-4.818591853928801,-2.5273933329168,0,0,0,1,0,0
2.1796,-4.642534200354602,-2.1888837176983995,0,0,0,1,0,0
2.7205,-4.882538605999801,-1.7858831227318004,0,0,0,1,0,0
3.6382,-5.89099249185,-1.87350377876,0,0,0,1,0,0
3.322,-5.941333551990001,-0.539057514267,1,0,0,0,0,0
2.0705,-4.598723872340001,-2.2471160791588,0,0,0,1,0,0
2.8154,-5.6931657311892,-2.6362388683568,0,0,0,1,0,0
1.3349,-4.5900162295047995,-3.0057694611755994,0,0,0,1,0,0
2.2623,-6.489370822929999,-2.40004405645,1,0,0,0,0,0
3.4897,-7.49972950565,-1.5586680674999998,1,0,0,0,0,0
2.5125,-4.98866300305,-2.3731047864300003,0,0,0,1,0,0
1.7054,-5.0558751211879995,-2.9211420573710005,0,0,0,1,0,0
3.2196,-5.99902168578,-0.64327711445,1,0,0,0,0,0
2.3002,-4.984853409313401,-2.4084795854486,0,0,0,1,0,0
2.9653,-6.215624301301202,-2.7410026962178002,0,0,0,1,0,0
2.0682,-5.3383292856548,-2.9853609232806,0,0,0,1,0,0
2.5336,-4.986486092345,-2.1630329030314,0,0,0,1,0,0
2.3927,-5.765275898418201,-1.6443839266598002,1,0,0,0,0,0
1.3035,-4.6515139570284,-2.982367671056,0,0,0,1,0,0
2.5955,-4.7989996575496,-1.8498298748028,0,0,0,1,0,0
2.5961,-5.18676187755,-2.31949836023,0,0,0,1,0,0
1.6516,-5.4860871000146005,-3.0074021442072003,0,0,0,1,0,0
2.7441,-4.9353286906882,-1.9148650822282,0,0,0,1,0,0
2.3276,-6.2050118616,-2.4288881233400006,1,0,0,0,0,0
2.6681,-7.7361964314,-3.60959006903,1,0,0,0,0,0
3.655,-6.02868209418,-0.127349276465,1,0,0,0,0,0
1.6463,-4.6166833856876,-2.8264464415382,0,0,0,1,0,0
1.6248,-4.609608425884,-2.817738798703,0,0,0,1,0,0
